category,order_value,name
Toys,131.71,Plush Bear
Electronics,253.73,Wireless Headphones
Books,43.1,Mystery of the Mind
Home,106.26,Wooden Chair
Toys,115.82,Remote Control Car
Electronics,330.83,4K Ultra TV
Home,155.34,Wall Clock
Toys,52.88,Action Hero Figure
Home,185.76,Wooden Chair
Home,197.52,Ceramic Vase
Home,145.63,Modern Lamp
Clothing,85.41,Slim Fit Jeans
Home,170.91,Modern Lamp
Home,247.46,Ceramic Vase
Toys,97.62,Plush Bear
Electronics,441.26,4K Ultra TV
Clothing,100.29,Summer Dress
Toys,104.37,Building Blocks Set
Books,64.12,Historical Journeys
Clothing,92.02,Slim Fit Jeans
Home,160.38,Ceramic Vase
Clothing,98.37,Hooded Sweatshirt
Electronics,320.78,Smartwatch Fit+2
Clothing,82.19,Slim Fit Jeans
Clothing,29.09,Hooded Sweatshirt
Home,96.08,Wooden Chair
Electronics,397.44,Wireless Headphones
Toys,139.74,Remote Control Car
Toys,70.07,Kids Puzzle 100pc
Home,134.03,Modern Lamp
Home,159.88,Wall Clock
Clothing,64.17,Cotton T-Shirt
Books,45.13,Historical Journeys
Home,163.01,Ceramic Vase
Electronics,247.7,Wireless Headphones
Toys,60.64,Plush Bear
Books,23.97,Modern Fiction Tales
Toys,31.3,Plush Bear
Books,33.93,Historical Journeys
Home,66.67,Silk Curtains
Clothing,50.46,Slim Fit Jeans
Toys,167.69,Plush Bear
Books,34.31,Data Science Essentials
Electronics,311.29,Smartphone X200
Electronics,343.16,Bluetooth Speaker Pro
Clothing,64.02,Summer Dress
Books,35.59,Modern Fiction Tales
Toys,91.02,Action Hero Figure
Electronics,323.25,Wireless Headphones
Home,141.75,Silk Curtains
Clothing,48.28,Slim Fit Jeans
Toys,100.9,Remote Control Car
Books,18.76,Modern Fiction Tales
Books,42.88,Data Science Essentials
Clothing,98.22,Leather Jacket
Clothing,98.11,Hooded Sweatshirt
Clothing,82.59,Slim Fit Jeans
Electronics,346.33,Wireless Headphones
Books,48.89,Data Science Essentials
Books,57.85,The Art of Python
Toys,87.04,Plush Bear
Toys,143.62,Remote Control Car
Home,132.6,Modern Lamp
Books,45.59,Historical Journeys
Toys,133.54,Action Hero Figure
Books,62.98,Data Science Essentials
Electronics,352.9,Smartphone X200
Clothing,97.71,Leather Jacket
Electronics,343.25,Smartphone X200
Toys,137.4,Kids Puzzle 100pc
Home,165.99,Modern Lamp
Electronics,445.55,4K Ultra TV
Home,142.96,Ceramic Vase
Home,215.46,Silk Curtains
Clothing,51.04,Cotton T-Shirt
Electronics,240.64,Wireless Headphones
Home,108.45,Ceramic Vase
Home,122.68,Modern Lamp
Books,40.95,Data Science Essentials
Home,141.93,Wall Clock
Books,55.56,Mystery of the Mind
Home,179.22,Wall Clock
Home,156.91,Wall Clock
Books,64.08,Modern Fiction Tales
Clothing,68.97,Summer Dress
Electronics,371.84,4K Ultra TV
Electronics,403.98,Bluetooth Speaker Pro
Books,26.83,Mystery of the Mind
Home,140.4,Modern Lamp
Books,41.54,Modern Fiction Tales
Electronics,370.91,Smartphone X200
Electronics,408.49,Bluetooth Speaker Pro
Electronics,210.71,Smartphone X200
Clothing,71.77,Summer Dress
Home,132.72,Wall Clock
Clothing,87.11,Cotton T-Shirt
Clothing,44.22,Hooded Sweatshirt
Toys,114.75,Building Blocks Set
Clothing,109.4,Leather Jacket
Home,145.05,Wall Clock
Books,56.75,Historical Journeys
Clothing,110.69,Summer Dress
Home,129.9,Wall Clock
Books,58.37,Historical Journeys
Toys,87.12,Plush Bear
Electronics,262.69,Smartphone X200
Toys,73.3,Building Blocks Set
Clothing,106.58,Leather Jacket
Clothing,105.44,Slim Fit Jeans
Clothing,72.91,Leather Jacket
Toys,82.93,Remote Control Car
Clothing,86.98,Hooded Sweatshirt
Clothing,61.97,Summer Dress
Home,162.7,Wooden Chair
Electronics,388.79,4K Ultra TV
Electronics,338.11,4K Ultra TV
Electronics,474.6,4K Ultra TV
Electronics,374.5,Smartwatch Fit+2
Electronics,244.74,Smartwatch Fit+2
Electronics,283.23,4K Ultra TV
Home,239.05,Silk Curtains
Electronics,164.76,4K Ultra TV
Clothing,97.98,Hooded Sweatshirt
Books,34.3,Mystery of the Mind
Clothing,51.96,Leather Jacket
Home,142.44,Silk Curtains
Electronics,266.18,Wireless Headphones
Electronics,127.42,Smartwatch Fit+2
Electronics,317.76,Smartphone X200
Electronics,389.73,Wireless Headphones
Clothing,91.7,Slim Fit Jeans
Electronics,358.59,Smartwatch Fit+2
Electronics,207.13,Smartwatch Fit+2
Electronics,279.81,Wireless Headphones
Clothing,100.9,Cotton T-Shirt
Electronics,239.35,Smartphone X200
Clothing,79.5,Summer Dress
Home,134.88,Silk Curtains
Home,198.0,Wooden Chair
Electronics,130.31,Wireless Headphones
Books,40.22,Data Science Essentials
Home,135.95,Ceramic Vase
Electronics,369.78,Wireless Headphones
Books,13.23,Historical Journeys
Toys,81.71,Kids Puzzle 100pc
Electronics,383.05,Smartphone X200
Clothing,110.83,Slim Fit Jeans
Books,64.35,Historical Journeys
Books,39.81,Mystery of the Mind
Electronics,115.82,Smartphone X200
Electronics,407.02,Bluetooth Speaker Pro
Clothing,65.15,Summer Dress
Clothing,98.22,Hooded Sweatshirt
Home,119.04,Silk Curtains
Clothing,59.6,Leather Jacket
Clothing,77.83,Hooded Sweatshirt
Books,49.37,The Art of Python
Electronics,286.78,Smartphone X200
Clothing,38.2,Summer Dress
Books,56.39,Data Science Essentials
Books,47.51,Modern Fiction Tales
Home,188.15,Wall Clock
Home,123.46,Silk Curtains
Electronics,221.02,Wireless Headphones
Clothing,94.29,Cotton T-Shirt
Home,108.53,Ceramic Vase
Electronics,254.35,Smartwatch Fit+2
Clothing,89.65,Slim Fit Jeans
Clothing,82.94,Hooded Sweatshirt
Electronics,294.59,Smartwatch Fit+2
Clothing,50.13,Leather Jacket
Electronics,278.66,Smartwatch Fit+2
Clothing,103.48,Summer Dress
Electronics,345.34,Wireless Headphones
Books,33.53,Mystery of the Mind
Home,154.83,Wooden Chair
Home,129.88,Modern Lamp
Books,20.77,Modern Fiction Tales
Clothing,76.59,Slim Fit Jeans
Electronics,168.09,Bluetooth Speaker Pro
Home,197.5,Ceramic Vase
Home,201.18,Wooden Chair
Books,72.54,The Art of Python
Clothing,75.93,Leather Jacket
Electronics,400.14,Bluetooth Speaker Pro
Clothing,119.79,Slim Fit Jeans
Clothing,60.07,Summer Dress
Home,239.93,Silk Curtains
Home,107.53,Modern Lamp
Clothing,57.6,Cotton T-Shirt
Toys,107.57,Kids Puzzle 100pc
Home,189.54,Wooden Chair
Electronics,338.08,Smartphone X200
Electronics,118.96,Bluetooth Speaker Pro
Electronics,498.79,Smartwatch Fit+2
Electronics,213.78,Wireless Headphones
Electronics,395.79,Wireless Headphones
Electronics,204.97,4K Ultra TV
Clothing,59.87,Summer Dress
Electronics,341.01,Smartphone X200
Books,52.3,The Art of Python
Electronics,554.31,Smartwatch Fit+2
Home,172.46,Wall Clock
Clothing,111.11,Summer Dress
Toys,111.6,Action Hero Figure
Electronics,229.6,Wireless Headphones
Clothing,98.97,Leather Jacket
Toys,87.81,Building Blocks Set
Books,47.16,Modern Fiction Tales
Books,57.59,Mystery of the Mind
Clothing,106.98,Summer Dress
Electronics,278.52,Wireless Headphones
Home,104.25,Silk Curtains
Toys,66.29,Remote Control Car
Home,80.85,Wooden Chair
Home,45.66,Silk Curtains
Clothing,33.14,Summer Dress
Books,53.89,The Art of Python
Electronics,120.28,Smartwatch Fit+2
Clothing,100.68,Slim Fit Jeans
Clothing,72.06,Leather Jacket
Home,141.43,Modern Lamp
Electronics,236.94,Smartwatch Fit+2
Electronics,369.14,Wireless Headphones
Home,179.95,Ceramic Vase
Clothing,85.45,Leather Jacket
Home,177.91,Modern Lamp
Electronics,351.75,Smartwatch Fit+2
Clothing,91.93,Cotton T-Shirt
Home,146.71,Wall Clock
Electronics,273.4,Bluetooth Speaker Pro
Clothing,109.63,Cotton T-Shirt
Electronics,241.08,Wireless Headphones
Electronics,124.82,Smartwatch Fit+2
Toys,107.26,Action Hero Figure
Clothing,87.37,Cotton T-Shirt
Books,58.56,Modern Fiction Tales
Clothing,89.17,Leather Jacket
Home,64.03,Silk Curtains
Books,41.31,Historical Journeys
Home,216.04,Silk Curtains
Clothing,97.23,Hooded Sweatshirt
Clothing,78.38,Leather Jacket
Clothing,61.8,Hooded Sweatshirt
Toys,96.42,Building Blocks Set
Books,39.6,Historical Journeys
Toys,118.68,Action Hero Figure
Electronics,273.94,Bluetooth Speaker Pro
Books,55.04,Mystery of the Mind
Toys,108.98,Plush Bear
Electronics,332.2,Wireless Headphones
Electronics,456.43,Bluetooth Speaker Pro
Books,71.97,Mystery of the Mind
Home,103.31,Wall Clock
Books,23.05,Historical Journeys
Electronics,431.12,Smartwatch Fit+2
Books,22.72,Data Science Essentials
Electronics,317.82,4K Ultra TV
Electronics,349.83,4K Ultra TV
Electronics,297.58,Smartphone X200
Books,70.78,The Art of Python
Home,176.62,Modern Lamp
Home,129.02,Wall Clock
Clothing,93.11,Slim Fit Jeans
Books,47.66,Modern Fiction Tales
Clothing,80.01,Hooded Sweatshirt
Books,54.07,The Art of Python
Clothing,72.06,Hooded Sweatshirt
Clothing,75.6,Slim Fit Jeans
Clothing,91.47,Summer Dress
Clothing,103.84,Summer Dress
Books,56.74,Modern Fiction Tales
Home,121.66,Wall Clock
Electronics,347.25,Bluetooth Speaker Pro
Books,43.85,The Art of Python
Clothing,71.86,Cotton T-Shirt
Home,102.99,Silk Curtains
Toys,110.0,Plush Bear
Home,179.19,Wooden Chair
Electronics,303.68,4K Ultra TV
Toys,53.82,Building Blocks Set
Home,229.45,Wooden Chair
Clothing,65.69,Hooded Sweatshirt
Electronics,289.66,Smartphone X200
Books,44.64,Historical Journeys
Home,174.79,Wall Clock
Home,192.86,Wooden Chair
Books,60.21,The Art of Python
Books,21.26,Historical Journeys
Electronics,313.68,Wireless Headphones
Clothing,45.55,Cotton T-Shirt
Electronics,247.43,Smartwatch Fit+2
Books,7.89,Modern Fiction Tales
Electronics,229.05,Wireless Headphones
Home,161.66,Silk Curtains
Books,59.62,The Art of Python
Books,25.2,Data Science Essentials
Clothing,93.25,Slim Fit Jeans
Books,65.44,Modern Fiction Tales
Electronics,364.02,Wireless Headphones
Books,47.34,The Art of Python
Electronics,299.48,Smartphone X200
Clothing,107.98,Summer Dress
Books,64.15,Mystery of the Mind
Electronics,346.99,Wireless Headphones
Electronics,384.48,Smartphone X200
Books,60.27,The Art of Python
Books,80.16,Historical Journeys
Home,107.35,Modern Lamp
Home,179.55,Silk Curtains
Home,74.62,Ceramic Vase
Clothing,122.49,Hooded Sweatshirt
Clothing,98.72,Slim Fit Jeans
Electronics,274.85,Smartphone X200
Toys,145.97,Kids Puzzle 100pc
Home,200.47,Wall Clock
Clothing,86.13,Summer Dress
Clothing,89.08,Summer Dress
Toys,99.51,Plush Bear
Electronics,346.47,4K Ultra TV
Home,200.79,Ceramic Vase
Home,131.71,Wall Clock
Home,155.6,Wall Clock
Electronics,366.15,Bluetooth Speaker Pro
Books,74.32,Mystery of the Mind
Toys,85.13,Plush Bear
Home,94.83,Silk Curtains
Home,135.53,Silk Curtains
Toys,92.56,Remote Control Car
Books,25.3,Historical Journeys
Electronics,467.07,Wireless Headphones
Home,153.05,Modern Lamp
Home,269.35,Silk Curtains
Clothing,90.07,Summer Dress
