Order_ID,Customer_Name,Product,Quantity,Price,Order_Date,Customer_Review
1074,Emily,Keyboard,4.0,199.99,2024-03-14,nan
1075,Michael,Monitor,2.0,79.99,2024-03-15,nan
1076,Emily,,1.0,199.99,2024-03-16,nan
1077,Sophia,Mouse,4.0,29.99,2024-03-17,nan
1078,Sophia,Mouse,4.0,199.99,2024-03-18,nan
1079,James,Laptop,2.0,199.99,2024-03-19,nan
1080,Sophia,Charger,3.0,29.99,2024-03-20,nan
1081,James,Mouse,3.0,149.99,2024-03-21,nan
1082,Sophia,Headphones,3.0,249.99,2024-03-22,nan
1083,Michael,Monitor,4.0,199.99,2024-03-23,Excellent
1084,Isabella,Monitor,4.0,29.99,2024-03-24,nan
1085,James,Headphones,4.0,59.99,2024-03-25,Excellent
1086,John,Smartwatch,1.0,79.99,2024-03-26,nan
1087,Olivia,Headphones,2.0,79.99,2024-03-27,nan
1088,Alex,Headphones,4.0,199.99,2024-03-28,nan
1089,Sophia,Monitor,2.0,149.99,2024-03-29,nan
1090,Emily,Webcam,2.0,149.99,2024-03-30,nan
1091,,Monitor,3.0,59.99,2024-03-31,nan
1092,Sophia,Charger,1.0,199.99,2024-04-01,Good
1093,Emily,Laptop,4.0,79.99,2024-04-02,nan
1094,Olivia,Tablet,,,2024-04-03,nan
1095,Olivia,Webcam,3.0,199.99,2024-04-04,nan
1096,Olivia,Smartphone,4.0,,2024-04-05,nan
1097,Emily,Tablet,2.0,149.99,2024-04-06,nan
1098,Sophia,Laptop,3.0,29.99,2024-04-07,nan
1099,Olivia,Charger,2.0,99.99,2024-04-08,nan
1100,Michael,Charger,1.0,249.99,2024-04-09,nan
1101,James,Smartphone,2.0,149.99,2024-04-10,nan
1102,Emily,Webcam,1.0,79.99,2024-04-11,nan
1103,Emily,Smartwatch,2.0,499.99,2024-04-12,nan
1104,,Headphones,3.0,99.99,2024-04-13,nan
1105,Emily,Webcam,3.0,249.99,2024-04-14,nan
1106,Emily,Smartwatch,1.0,59.99,2024-04-15,Good
1107,Olivia,Charger,4.0,59.99,2024-04-16,nan
1108,Sophia,Monitor,1.0,,2024-04-17,nan
1109,Olivia,Laptop,1.0,149.99,2024-04-18,nan
1110,,Smartphone,2.0,199.99,2024-04-19,nan
1111,Isabella,Laptop,2.0,149.99,2024-04-20,nan
1112,James,Keyboard,1.0,79.99,2024-04-21,nan
1113,Isabella,Keyboard,3.0,59.99,2024-04-22,nan
1114,Olivia,Webcam,2.0,149.99,2024-04-23,nan
1115,,Charger,4.0,59.99,2024-04-24,nan
1116,Sophia,Charger,2.0,99.99,2024-04-25,nan
1117,Alex,Headphones,2.0,249.99,2024-04-26,nan
1118,Olivia,Headphones,,199.99,2024-04-27,Good
1119,Isabella,Headphones,1.0,99.99,2024-04-28,Excellent
1120,Michael,Monitor,,59.99,2024-04-29,nan
1121,Isabella,Tablet,1.0,59.99,2024-04-30,nan
1122,Michael,Mouse,1.0,499.99,2024-05-01,nan
1123,Emily,Tablet,1.0,499.99,2024-05-02,nan
1124,,Laptop,4.0,99.99,2024-05-03,nan
1125,Michael,Tablet,,29.99,2024-05-04,nan
1126,Isabella,Monitor,3.0,99.99,2024-05-05,nan
1127,Emily,Laptop,,499.99,2024-05-06,nan
1128,Alex,Tablet,3.0,59.99,2024-05-07,nan
1129,Sophia,Monitor,1.0,79.99,2024-05-08,nan
1130,Sophia,Mouse,2.0,99.99,2024-05-09,Poor
1131,Sophia,Tablet,1.0,59.99,2024-05-10,nan
1132,Michael,Monitor,3.0,79.99,2024-05-11,nan
1133,Alex,Headphones,3.0,79.99,2024-05-12,nan
1134,Michael,Charger,4.0,499.99,2024-05-13,nan
1135,James,Headphones,2.0,99.99,2024-05-14,nan
1136,Michael,Charger,4.0,149.99,2024-05-15,nan
1137,Alex,Smartphone,3.0,199.99,2024-05-16,nan
1138,Alex,Smartphone,1.0,499.99,2024-05-17,nan
1139,James,Smartphone,2.0,499.99,2024-05-18,nan
1140,Alex,Mouse,1.0,149.99,2024-05-19,nan
1141,Isabella,Headphones,1.0,199.99,2024-05-20,Excellent
1142,Alex,Charger,2.0,59.99,2024-05-21,nan
1143,Sophia,Monitor,4.0,29.99,2024-05-22,nan
1144,,Laptop,1.0,99.99,2024-05-23,nan
1145,Isabella,Monitor,3.0,29.99,2024-05-24,nan
1146,James,Laptop,1.0,,2024-05-25,Fair
1147,John,Keyboard,2.0,249.99,2024-05-26,nan
1148,John,Monitor,2.0,499.99,2024-05-27,nan
1149,Alex,Tablet,2.0,199.99,2024-05-28,Good
1150,Isabella,,4.0,499.99,2024-05-29,nan
1151,John,Webcam,1.0,79.99,2024-05-30,nan
1152,John,Headphones,4.0,499.99,2024-05-31,nan
1153,Alex,Laptop,4.0,499.99,2024-06-01,Poor
1154,John,Laptop,2.0,59.99,2024-06-02,nan
1155,Michael,Headphones,2.0,59.99,2024-06-03,Excellent
1156,Emily,Mouse,4.0,59.99,2024-06-04,nan
1157,James,Webcam,1.0,29.99,2024-06-05,Good
1158,,Mouse,3.0,79.99,2024-06-06,nan
1159,Alex,Mouse,4.0,249.99,2024-06-07,nan
1160,Sophia,Mouse,1.0,249.99,2024-06-08,nan
1161,James,Headphones,2.0,59.99,2024-06-09,nan
1162,Alex,Mouse,2.0,199.99,2024-06-10,nan
1163,Isabella,Tablet,1.0,29.99,2024-06-11,nan
1164,Sophia,Smartphone,3.0,149.99,2024-06-12,nan
1165,Emily,Keyboard,2.0,199.99,2024-06-13,nan
1166,Alex,Laptop,2.0,99.99,2024-06-14,Good
1167,Isabella,Laptop,2.0,99.99,2024-06-15,Fair
1168,James,Keyboard,1.0,199.99,2024-06-16,Fair
1169,James,Headphones,4.0,59.99,2024-06-17,nan
1170,Olivia,Monitor,2.0,149.99,2024-06-18,nan
1171,Isabella,Headphones,4.0,149.99,2024-06-19,nan
1172,Michael,Laptop,3.0,29.99,2024-06-20,Excellent
1173,John,Laptop,2.0,149.99,2024-06-21,nan
1174,Sophia,Keyboard,2.0,99.99,2024-06-22,nan
1175,Isabella,Mouse,3.0,79.99,2024-06-23,nan
1176,Olivia,Headphones,2.0,59.99,2024-06-24,Fair
1177,John,Charger,4.0,149.99,2024-06-25,nan
1178,John,Keyboard,1.0,,2024-06-26,Poor
1179,Alex,Tablet,4.0,99.99,2024-06-27,nan
1180,John,Laptop,1.0,79.99,2024-06-28,nan
1181,Michael,Keyboard,1.0,499.99,2024-06-29,Good
1182,James,Headphones,4.0,499.99,2024-06-30,nan
1183,Olivia,Laptop,4.0,79.99,2024-07-01,nan
1184,John,Monitor,,99.99,2024-07-02,nan
1185,Alex,Keyboard,4.0,29.99,2024-07-03,nan
1186,Michael,Webcam,3.0,79.99,2024-07-04,nan
1187,Emily,Laptop,2.0,59.99,2024-07-05,nan
1188,James,Headphones,1.0,59.99,2024-07-06,nan
1189,James,Smartphone,4.0,499.99,2024-07-07,nan
1190,Olivia,Charger,4.0,149.99,2024-07-08,nan
1191,James,,4.0,29.99,2024-07-09,nan
1192,John,Mouse,3.0,499.99,2024-07-10,nan
1193,Alex,Smartwatch,4.0,149.99,2024-07-11,nan
1194,James,Headphones,4.0,149.99,2024-07-12,nan
1195,James,Tablet,4.0,249.99,2024-07-13,nan
1196,Emily,Tablet,2.0,59.99,2024-07-14,nan
1197,Emily,Smartphone,3.0,99.99,2024-07-15,nan
1198,Sophia,,4.0,199.99,2024-07-16,nan
1199,Michael,Webcam,1.0,99.99,2024-07-17,nan
1200,John,Smartphone,1.0,199.99,2024-07-18,nan
