order_id,date,product,category,rating
1083,1/24/2024,Biography,Books,2.3
1084,11/25/2024,Science Fiction,Books,1.8
1085,7/17/2024,Doll,Toys,2.3
1086,3/5/2024,Blender,Home & Kitchen,2.9
1087,5/13/2024,T-Shirt,Clothing,1.9
1088,6/10/2024,Eyeliner,Beauty,3.3
1089,5/21/2024,Action Figure,Toys,2.4
1090,11/4/2024,T-Shirt,Clothing,2.9
1091,11/17/2024,Sneakers,Clothing,4.7
1092,12/4/2024,Tennis Racket,Sports,3.6
1093,10/8/2024,Cookbook,Books,1.9
1094,3/15/2024,Sneakers,Clothing,4
1095,7/23/2024,Puzzle,Toys,3.2
1096,11/27/2024,Vacuum Cleaner,Home & Kitchen,1.9
1097,2/17/2024,Sweater,Clothing,2.8
1098,2/19/2024,Tennis Racket,Sports,1.4
1099,9/7/2024,Perfume,Beauty,3.3
1100,6/28/2024,Jeans,Clothing,3.1
1101,12/19/2024,Laptop,Electronics,3
1102,1/15/2024,Doll,Toys,1.5
1103,10/2/2024,Coffee Maker,Home & Kitchen,3.2
1104,12/1/2024,Tennis Racket,Sports,2.6
1105,12/7/2024,Lipstick,Beauty,3.3
1106,6/23/2024,Smartwatch,Electronics,1.3
1107,8/2/2024,Smartphone,Electronics,2.1
1108,11/24/2024,Jeans,Clothing,3.6
1109,7/15/2024,Toaster,Home & Kitchen,4.5
1110,2/22/2024,Coffee Maker,Home & Kitchen,4.9
1111,3/21/2024,Perfume,Beauty,4.4
1112,9/13/2024,Laptop,Electronics,3.1
1113,1/25/2024,Basketball,Sports,1.1
1114,11/24/2023,Self-Help,Books,3.2
1115,4/8/2023,Doll,Toys,2.8
1116,4/24/2023,Jacket,Clothing,4.1
1117,10/25/2023,Smartwatch,Electronics,4.7
1118,4/3/2023,Laptop,Electronics,1.4
1119,10/22/2023,Smartwatch,Electronics,3.8
1120,12/2/2023,Laptop,Electronics,2.6
1121,4/25/2023,Sweater,Clothing,4.5
1122,9/10/2023,Laptop,Electronics,1.9
1123,6/19/2023,Running Shoes,Sports,3.4
1124,4/10/2023,Tennis Racket,Sports,4.5
1125,4/14/2023,Running Shoes,Sports,2.2
1126,10/24/2023,Tablet,Electronics,4.6
1127,9/16/2023,Yoga Mat,Sports,1.2
1128,9/11/2023,Self-Help,Books,3.8
1129,5/13/2023,Microwave,Home & Kitchen,1.7
1130,4/28/2023,Doll,Toys,1.9
1131,8/2/2023,Foundation,Beauty,3.2
1132,9/5/2023,Vacuum Cleaner,Home & Kitchen,2.6
1133,6/21/2023,Biography,Books,1.3
1134,2/18/2023,Toaster,Home & Kitchen,3.9
1135,5/13/2023,T-Shirt,Clothing,3.7
1136,2/7/2023,Action Figure,Toys,4.2
1137,4/16/2023,RC Car,Toys,1.8
1138,1/7/2023,Cookbook,Books,4.7
1139,12/25/2023,Football,Sports,2.9
1140,12/7/2023,Sweater,Clothing,2.6
1141,6/25/2023,Sweater,Clothing,2.1
1142,11/12/2023,Vacuum Cleaner,Home & Kitchen,2.2
1143,8/15/2023,Science Fiction,Books,1.4
1144,6/7/2023,Yoga Mat,Sports,2.5
1145,10/28/2023,Blender,Home & Kitchen,1.9
1146,5/18/2023,T-Shirt,Clothing,4.7
1147,5/5/2023,Doll,Toys,1.8
1148,10/27/2023,Sneakers,Clothing,2
1149,5/25/2023,Puzzle,Toys,4.3
1150,8/6/2023,Yoga Mat,Sports,3.9
1151,3/24/2023,Biography,Books,3.2
1152,11/2/2023,Sweater,Clothing,3.1
1153,11/2/2023,Lipstick,Beauty,4.1
1154,11/8/2023,Microwave,Home & Kitchen,1.3
1155,4/17/2023,T-Shirt,Clothing,2.8
1156,11/22/2023,Tablet,Electronics,4.7
1157,1/1/2023,Coffee Maker,Home & Kitchen,3.1
1158,1/17/2023,Blender,Home & Kitchen,3.9
1159,1/17/2023,Puzzle,Toys,4.3
1160,3/4/2023,Yoga Mat,Sports,4.7
1161,4/7/2023,Board Game,Toys,3.5
1162,5/26/2023,Cookbook,Books,2.6
1163,8/19/2023,Self-Help,Books,2
1164,5/22/2023,Basketball,Sports,4.3
1165,2/13/2023,Smartphone,Electronics,2.5
1166,1/21/2023,Doll,Toys,1
1167,8/28/2023,T-Shirt,Clothing,2.7
1168,10/28/2023,Eyeliner,Beauty,4.9
1169,4/7/2023,Action Figure,Toys,4.6
1170,8/9/2023,Running Shoes,Sports,1.2
1171,9/19/2022,Headphones,Electronics,3.6
1172,1/7/2022,Jacket,Clothing,3.3
1173,2/10/2022,Moisturizer,Beauty,1.6
1174,7/22/2022,Sweater,Clothing,4.6
1175,12/5/2022,Self-Help,Books,4.2
1176,9/24/2022,Football,Sports,4.9
1177,7/8/2022,Smartphone,Electronics,4.4
1178,10/20/2022,Science Fiction,Books,2.6
1179,1/21/2022,Eyeliner,Beauty,2.1
1180,4/12/2022,Coffee Maker,Home & Kitchen,3.2
1181,3/22/2022,Coffee Maker,Home & Kitchen,3.3
1182,10/10/2022,Blender,Home & Kitchen,4.2
1183,2/9/2022,Football,Sports,1.6
1184,12/13/2022,Basketball,Sports,2.3
1185,1/10/2022,Smartphone,Electronics,2.8
1186,2/5/2022,Eyeliner,Beauty,1.3
1187,9/18/2022,Coffee Maker,Home & Kitchen,3
1188,2/12/2022,Smartphone,Electronics,3.2
1189,6/28/2022,RC Car,Toys,2.5
1190,7/25/2022,Self-Help,Books,1.3
1191,10/17/2022,Board Game,Toys,1.7
1192,3/9/2022,Microwave,Home & Kitchen,2.2
1193,2/6/2022,Microwave,Home & Kitchen,2.7
1194,8/26/2022,Toaster,Home & Kitchen,1.3
1195,12/21/2022,Biography,Books,3
1196,8/4/2022,Board Game,Toys,1.5
1197,6/27/2022,Smartwatch,Electronics,3.5
1198,8/11/2022,Eyeliner,Beauty,2.7
1199,3/10/2022,Perfume,Beauty,2.3
1200,8/11/2022,Basketball,Sports,1.7
1201,5/24/2022,Toaster,Home & Kitchen,3.8
1202,4/11/2022,Vacuum Cleaner,Home & Kitchen,2.5
1203,6/4/2022,Moisturizer,Beauty,4.7
1204,9/6/2022,Sweater,Clothing,3.7
1205,12/15/2022,Action Figure,Toys,4.8
1206,5/27/2022,Sneakers,Clothing,3.8
1207,11/16/2022,Moisturizer,Beauty,1.6
1208,5/22/2022,Biography,Books,1.6
1209,2/15/2022,Coffee Maker,Home & Kitchen,5
1210,7/18/2022,Vacuum Cleaner,Home & Kitchen,3
1211,9/2/2022,Moisturizer,Beauty,4.2
1212,10/21/2022,Science Fiction,Books,4.7
1213,11/22/2022,Laptop,Electronics,2.4
1214,1/19/2022,Running Shoes,Sports,4.9
1215,6/26/2022,Yoga Mat,Sports,2.7
1216,5/8/2022,Smartphone,Electronics,3
1217,10/23/2022,RC Car,Toys,3.3
1218,7/15/2022,Toaster,Home & Kitchen,4.1
1219,3/12/2022,RC Car,Toys,5
1220,5/14/2022,Blender,Home & Kitchen,4.7
1221,12/5/2022,Smartphone,Electronics,2.4
1222,4/17/2022,Self-Help,Books,2.9
1223,8/24/2022,Blender,Home & Kitchen,3.8
1224,5/2/2022,Novel,Books,4.2
1225,6/21/2022,Smartphone,Electronics,1.4
1226,12/8/2022,Foundation,Beauty,3.1
1227,6/18/2022,Board Game,Toys,2.7
1228,7/21/2021,Microwave,Home & Kitchen,1.7
1229,7/1/2021,Yoga Mat,Sports,3.9
1230,10/14/2021,Sneakers,Clothing,2.6
1231,4/9/2021,Basketball,Sports,4
1232,10/4/2021,Lipstick,Beauty,4.2
1233,6/11/2021,Board Game,Toys,1.8
1234,11/28/2021,Headphones,Electronics,3
1235,10/13/2021,Tennis Racket,Sports,3.4
1236,6/12/2021,Action Figure,Toys,4.4
1237,11/23/2021,Board Game,Toys,4.2
1238,2/22/2021,RC Car,Toys,1.5
1239,5/4/2021,Laptop,Electronics,1.7
1240,9/13/2021,Basketball,Sports,2.7
1241,7/14/2021,Sweater,Clothing,1.7
1242,12/21/2021,Running Shoes,Sports,4.7
1243,3/16/2021,Sweater,Clothing,2.2
1244,8/20/2021,Jacket,Clothing,1.2
1245,8/5/2021,Novel,Books,1.8
1246,9/21/2021,Vacuum Cleaner,Home & Kitchen,3
1247,7/23/2021,Yoga Mat,Sports,4.4
1248,2/19/2021,Microwave,Home & Kitchen,1.1
1249,5/2/2021,Foundation,Beauty,2.1
1250,3/25/2021,Puzzle,Toys,2.8
1251,9/17/2021,Yoga Mat,Sports,1.5
1252,9/27/2021,Headphones,Electronics,5
1253,12/15/2021,Action Figure,Toys,3.2
1254,12/27/2021,Blender,Home & Kitchen,3.6
1255,1/15/2021,Jacket,Clothing,2.1
1256,8/28/2021,Lipstick,Beauty,5
1257,4/26/2021,Foundation,Beauty,4
1258,12/20/2021,Tennis Racket,Sports,3.5
1259,3/26/2021,Sweater,Clothing,1.8
1260,10/12/2021,T-Shirt,Clothing,3.1
1261,3/11/2021,RC Car,Toys,4.9
1262,10/9/2021,Cookbook,Books,4.8
1263,3/25/2021,Action Figure,Toys,4.1
1264,11/5/2021,Headphones,Electronics,3.8
1265,3/23/2021,Jeans,Clothing,2.3
1266,8/5/2021,Sneakers,Clothing,3.3
1267,7/15/2021,Self-Help,Books,1.3
1268,7/17/2021,Lipstick,Beauty,4
1269,8/16/2021,Tennis Racket,Sports,2.3
1270,12/15/2021,Smartphone,Electronics,3.5
1271,2/26/2021,Tennis Racket,Sports,3.1
1272,4/16/2021,Sneakers,Clothing,2.1
1273,6/18/2021,Eyeliner,Beauty,3.3
1274,6/22/2021,Doll,Toys,4
1275,11/26/2021,Smartphone,Electronics,4.3
1276,3/15/2021,Smartphone,Electronics,2.8
1277,12/5/2021,Microwave,Home & Kitchen,4.5
1278,5/3/2021,Biography,Books,3.6
1279,6/22/2021,Novel,Books,4.6
1280,7/21/2021,T-Shirt,Clothing,2.2
1281,7/21/2021,Basketball,Sports,1.4
1282,4/16/2021,Smartphone,Electronics,1.3
1283,9/22/2021,Board Game,Toys,2.8
1284,2/28/2021,Headphones,Electronics,2.7
1285,2/8/2020,Sneakers,Clothing,2.5
1286,2/11/2020,Football,Sports,2.5
1287,7/25/2020,Biography,Books,4.3
1288,11/22/2020,Foundation,Beauty,1.6
1289,1/20/2020,RC Car,Toys,3.6
1290,12/7/2020,Toaster,Home & Kitchen,3.5
1291,10/22/2020,Sneakers,Clothing,2.8
1292,2/5/2020,T-Shirt,Clothing,4
1293,6/14/2020,Doll,Toys,2.3
1294,5/21/2020,Jeans,Clothing,1.3
1295,10/24/2020,RC Car,Toys,3.4
1296,11/10/2020,Lipstick,Beauty,1.8
1297,4/24/2020,RC Car,Toys,2.6
1298,4/16/2020,Football,Sports,2.5
1299,11/20/2020,Sneakers,Clothing,1.3
1300,6/5/2020,Headphones,Electronics,2.5
1301,7/12/2020,Perfume,Beauty,3.2
1302,2/1/2020,Sneakers,Clothing,3.3
1303,4/2/2020,Headphones,Electronics,4.7
1304,9/10/2020,Moisturizer,Beauty,3.5
1305,7/23/2020,Doll,Toys,2.6
1306,9/20/2020,Running Shoes,Sports,1.6
1307,2/17/2020,Headphones,Electronics,4.7
1308,9/11/2020,Foundation,Beauty,2.6
1309,5/23/2020,Football,Sports,2.7
1310,1/8/2020,Foundation,Beauty,1.3
1311,8/20/2020,Blender,Home & Kitchen,3.4
1312,2/1/2020,Biography,Books,3.8
1313,3/16/2020,Football,Sports,4.8
1314,12/9/2020,RC Car,Toys,1.7
1315,12/4/2020,Jacket,Clothing,4.1
1316,7/9/2020,Headphones,Electronics,3.1
1317,11/3/2020,Science Fiction,Books,3
1318,1/16/2020,Puzzle,Toys,4.4
1319,3/9/2020,Jacket,Clothing,4.1
1320,4/24/2020,Action Figure,Toys,3
1321,4/2/2020,Smartphone,Electronics,2.9
1322,3/28/2020,Microwave,Home & Kitchen,1.1
1323,4/11/2020,Moisturizer,Beauty,2
1324,5/27/2020,Tennis Racket,Sports,1.3
1325,9/22/2020,Novel,Books,4.6
1326,9/2/2020,Jeans,Clothing,4.8
1327,5/25/2020,Smartwatch,Electronics,4.4
1328,9/15/2020,Novel,Books,1
1329,10/26/2020,Jacket,Clothing,2.2
1330,8/12/2020,Board Game,Toys,3.4
1331,12/18/2020,Microwave,Home & Kitchen,4
1332,1/14/2020,Jeans,Clothing,1.1
1333,11/27/2020,Puzzle,Toys,3.8
1334,1/25/2020,Headphones,Electronics,3.6
1335,2/7/2020,Eyeliner,Beauty,3.1
1336,8/2/2020,Sneakers,Clothing,4.9
1337,2/2/2020,Jacket,Clothing,4.7
1338,7/23/2020,Perfume,Beauty,4.6
1339,10/4/2020,Blender,Home & Kitchen,3
1340,2/19/2020,Yoga Mat,Sports,3.3
1341,4/10/2020,Microwave,Home & Kitchen,2
1342,12/27/2019,Self-Help,Books,3.9
1343,5/8/2019,Self-Help,Books,1.3
1344,10/4/2019,Jeans,Clothing,1.6
1345,8/11/2019,Sneakers,Clothing,2.6
1346,4/15/2019,Puzzle,Toys,2.2
1347,2/6/2019,Novel,Books,4.2
1348,1/7/2019,Science Fiction,Books,4.3
1349,2/23/2019,Biography,Books,2
1350,9/2/2019,Self-Help,Books,3.7
1351,1/13/2019,Biography,Books,4.4
1352,4/4/2019,RC Car,Toys,2.8
1353,2/1/2019,Foundation,Beauty,1.2
1354,3/7/2019,Foundation,Beauty,4.3
1355,10/19/2019,Novel,Books,2
1356,1/3/2019,Lipstick,Beauty,1.8
1357,3/3/2019,Yoga Mat,Sports,4.6
1358,2/2/2019,Eyeliner,Beauty,4.8
1359,10/14/2019,Laptop,Electronics,4.3
1360,1/13/2019,Coffee Maker,Home & Kitchen,3.7
1361,4/6/2019,Jacket,Clothing,2.1
1362,1/20/2019,Microwave,Home & Kitchen,3.5
1363,8/14/2019,Jacket,Clothing,4.5
1364,2/9/2019,Blender,Home & Kitchen,2.5
1365,11/26/2019,Microwave,Home & Kitchen,3.1
1366,1/13/2019,Running Shoes,Sports,4.1
1367,9/26/2019,Self-Help,Books,2.9
1368,6/13/2019,RC Car,Toys,2.1
1369,10/8/2019,Headphones,Electronics,1.1
1370,1/26/2019,Eyeliner,Beauty,5
1371,10/8/2019,Puzzle,Toys,4.9
1372,11/8/2019,Laptop,Electronics,2.1
1373,4/19/2019,Lipstick,Beauty,4.4
1374,6/27/2019,Moisturizer,Beauty,5
1375,4/19/2019,Jeans,Clothing,2.3
1376,10/1/2019,Tennis Racket,Sports,3.8
1377,10/5/2019,Science Fiction,Books,3.3
1378,9/10/2019,Sneakers,Clothing,1.7
1379,1/8/2019,Smartphone,Electronics,3.4
1380,8/1/2019,Tablet,Electronics,2.3
1381,3/11/2019,Board Game,Toys,3.9
1382,1/1/2019,Eyeliner,Beauty,1.6
1383,2/28/2019,Basketball,Sports,3.1
1384,6/23/2019,Novel,Books,4.8
1385,2/11/2019,Vacuum Cleaner,Home & Kitchen,2.2
1386,12/14/2019,Jeans,Clothing,4.2
1387,3/23/2019,Toaster,Home & Kitchen,4.9
1388,6/8/2019,Running Shoes,Sports,3.7
1389,7/10/2019,Foundation,Beauty,3.9
1390,3/24/2019,Biography,Books,1
1391,7/28/2019,Running Shoes,Sports,5
1392,3/20/2019,Action Figure,Toys,2.3
1393,4/21/2019,Perfume,Beauty,3.3
1394,6/24/2019,Microwave,Home & Kitchen,1.3
1395,3/21/2019,Cookbook,Books,4.5
1396,8/1/2019,Headphones,Electronics,2.1
1397,6/9/2019,T-Shirt,Clothing,4.1
1398,1/13/2019,Football,Sports,2.8
